feature,group,n,mae,rmse,mean_error
Education_Level,Other,48,1.8135514116567597,2.3562063377409523,-0.02825814467669115
Education_Level,Bachelor's,33,2.2754003588383442,2.8840809608635967,-0.22227152592836413
Education_Level,PhD,53,2.4428746104231767,2.958727067478794,-0.6543879751955678
Education_Level,High School,54,2.566708551328785,3.0472885304063886,0.021527232386195947
Education_Level,Master's,52,2.664423914418466,3.137482107513339,0.5593501297534921
Employment_Status,Student,63,2.3014366807630187,2.651902397818044,-0.25191275943498737
Employment_Status,Retired,53,2.2033113400673874,2.749135444511735,0.19086114536193136
Employment_Status,Unemployed,55,2.429740836501016,3.0464663724471155,0.11032860970224402
Employment_Status,Employed,69,2.5124866863179043,3.102575737961346,-0.19476010264996646
Gender,Male,102,2.2309385515751767,2.748474705646649,0.036027742988447506
Gender,Female,116,2.405403562016608,2.8901089209404387,-0.22012908315624455
Gender,Non-Binary,20,2.4791229862921127,3.1579437814277695,-0.19317134614197232
Medication_Use,nan,136,2.3251580161902163,2.849776870433591,-0.05863235607980507
Medication_Use,Occasional,48,2.3306832441362233,2.953808958612563,-0.22614628670307566
Medication_Use,Regular,56,2.5119473813343705,2.9730096682910263,0.10185331248491063
Meditation,1,96,2.299722575058169,2.846393854176032,0.08639311969044922
Meditation,0,144,2.416597028260755,2.9350261546481815,-0.1487428901370086
Substance_Use,Occasional,39,1.8139122853880831,2.3465854452312445,-0.0666126634728495
Substance_Use,nan,173,2.494500996523626,2.992433006737994,-0.05452140187746157
Substance_Use,Frequent,28,2.3740031338003695,3.0139617960726794,-0.03911215318586203
Therapy,1,44,2.166855336528688,2.8195412682531464,-0.05050142477770104
Therapy,0,196,2.4154168595299517,2.9176334965238384,-0.05562843877156765
